Id,plant_nr,plant_id,umbel_id,umbel_nr,n_umbels_assessed,n_seeds,exclude,comment
48,5,48_5,48_5_1,1,20,254,0,
52,1,52_1,52_1_1,1,20,79,0,
52,1,52_1,52_1_2,2,20,121,0,
52,2,52_2,52_2_1,1,20,89,0,
52,3,52_3,52_3_1,1,20,39,0,
52,3,52_3,52_3_2,2,20,85,0,
52,3,52_3,52_3_3,3,20,54,0,
52,4,52_4,52_4_1,1,20,190,0,
52,5,52_5,52_5_1,1,20,106,0,
52,5,52_5,52_5_2,2,20,153,0,
53,1,53_1,53_1_1,1,20,224,0,
53,1,53_1,53_1_2,2,20,94,0,
53,1,53_1,53_1_3,3,20,126,0,
53,2,53_2,53_2_1,1,20,178,0,
53,2,53_2,53_2_2,2,20,63,0,
53,2,53_2,53_2_3,3,20,107,0,
53,3,53_3,53_3_1,1,20,218,0,
53,3,53_3,53_3_2,2,20,142,0,
53,3,53_3,53_3_3,3,20,171,0,
56,1,56_1,56_1_1,1,20,142,0,
56,1,56_1,56_1_2,2,20,75,0,
56,1,56_1,56_1_3,3,20,97,0,
56,2,56_2,56_2_1,1,20,158,0,
56,3,56_3,56_3_1,1,20,256,0,
56,3,56_3,56_3_2,2,20,175,0,
56,4,56_4,56_4_1,1,20,386,0,
56,5,56_5,56_5_1,1,20,210,0,
56,5,56_5,56_5_2,2,20,115,0,
56,5,56_5,56_5_3,3,20,69,0,
56,5,56_5,56_5_4,4,20,68,0,
59,5,59_5,59_5_2,2,17,1,1,unclear whether fertilization or development failure
59,1,59_1,59_1_1,1,20,295,0,
59,1,59_1,59_1_2,2,20,353,0,
59,2,59_2,59_2_1,1,20,264,0,
59,2,59_2,59_2_2,2,20,200,0,
59,2,59_2,59_2_3,3,20,248,0,
59,3,59_3,59_3_1,1,20,168,0,
59,3,59_3,59_3_2,2,20,210,0,
59,3,59_3,59_3_3,3,20,209,0,
59,4,59_4,59_4_1,1,20,229,0,
59,4,59_4,59_4_2,2,20,103,0,
59,4,59_4,59_4_3,3,20,160,0,
59,5,59_5,59_5_1,1,18,183,0,
59,5,59_5,59_5_3,3,20,166,0,
71,1,71_1,71_1_1,1,20,111,0,
71,1,71_1,71_1_2,2,20,134,0,
71,1,71_1,71_1_3,3,20,116,0,
71,2,71_2,71_2_1,1,20,91,0,
71,2,71_2,71_2_2,2,20,163,0,
71,2,71_2,71_2_3,3,20,186,0,
71,3,71_3,71_3_1,1,20,250,0,
71,3,71_3,71_3_2,2,20,198,0,
71,4,71_4,71_4_1,1,20,162,0,
71,4,71_4,71_4_2,2,20,201,0,
71,4,71_4,71_4_3,3,20,176,0,
71,5,71_5,71_5_1,1,20,173,0,
71,5,71_5,71_5_2,2,20,182,0,
71,5,71_5,71_5_3,3,20,199,0,
73,1,73_1,73_1_1,1,20,171,0,
73,1,73_1,73_1_2,2,20,50,0,
73,1,73_1,73_1_3,3,20,100,0,
73,1,73_1,73_1_4,4,17,103,0,
73,1,73_1,73_1_5,5,20,73,0,
73,1,73_1,73_1_6,6,15,54,0,
73,2,73_2,73_2_1,1,20,218,0,
73,2,73_2,73_2_2,2,20,96,0,
73,2,73_2,73_2_3,3,20,149,0,
73,3,73_3,73_3_1,1,20,219,0,
73,3,73_3,73_3_2,2,18,225,0,
73,3,73_3,73_3_3,3,20,97,0,
73,4,73_4,73_4_1,1,20,330,0,
73,4,73_4,73_4_2,2,20,117,0,
73,4,73_4,73_4_3,3,20,78,0,
73,5,73_5,73_5_1,1,20,221,0,
73,5,73_5,73_5_2,2,20,107,0,
73,5,73_5,73_5_3,3,20,100,0,
83,1,83_1,83_1_1,1,20,311,0,
83,2,83_2,83_2_1,1,20,239,0,
83,2,83_2,83_2_2,2,20,181,0,
83,2,83_2,83_2_3,3,20,188,0,
83,2,83_2,83_2_4,4,20,163,0,
83,2,83_2,83_2_5,5,20,123,0,
83,3,83_3,83_3_1,1,20,215,0,
83,4,83_4,83_4_1,1,20,178,0,
83,5,83_5,83_5_1,1,20,264,0,
84,1,84_1,84_1_1,1,20,156,0,check values
84,1,84_1,84_1_2,2,20,199,0,check values
84,1,84_1,84_1_3,3,20,141,0,check values
84,2,84_2,84_2_1,1,20,236,0,check values
84,5,84_5,84_5_1,1,20,201,0,check values
84,5,84_5,84_5_3,3,20,77,0,very dry
84,2,84_2,84_2_2,2,20,321,0,
84,2,84_2,84_2_3,3,20,331,0,
84,3,84_3,84_3_1,1,20,214,0,
84,3,84_3,84_3_2,2,20,187,0,
84,3,84_3,84_3_3,3,20,164,0,
84,4,84_4,84_4_1,1,20,150,0,
84,4,84_4,84_4_2,2,20,91,0,
84,4,84_4,84_4_3,3,20,97,0,
84,5,84_5,84_5_2,2,20,98,0,
85,1,85_1,85_1_1,1,20,269,0,
85,1,85_1,85_1_2,2,20,175,0,
85,1,85_1,85_1_3,3,20,163,0,
85,2,85_2,85_2_1,1,20,191,0,
85,2,85_2,85_2_2,2,20,172,0,
85,2,85_2,85_2_3,3,20,144,0,
85,3,85_3,85_3_1,1,20,396,0,
85,4,85_4,85_4_1,1,19,114,0,
85,5,85_5,85_5_1,1,20,307,0,largest plant
85,5,85_5,85_5_2,2,20,437,0,largest plant
85,5,85_5,85_5_3,3,20,124,0,largest plant
85,5,85_5,85_5_4,4,20,200,0,largest plant
85,5,85_5,85_5_5,5,20,179,0,largest plant
85,5,85_5,85_5_6,6,20,162,0,largest plant
