Id,plant_nr,plant_id,branch_nr,branch_id,n_flowers_with_fruits,n_flowers_without_fruits,comment
47,2,47_2,4,47_2_4,27,50,
47,2,47_2,5,47_2_5,27,75,
47,3,47_3,1,47_3_1,27,75,
47,3,47_3,2,47_3_2,26,39,
47,3,47_3,3,47_3_3,28,69,
47,3,47_3,4,47_3_4,11,48,
47,3,47_3,5,47_3_5,22,66,
47,3,47_3,6,47_3_6,22,54,
47,4,47_4,1,47_4_1,15,57,
47,4,47_4,2,47_4_2,41,118,
47,4,47_4,3,47_4_3,13,60,
47,4,47_4,4,47_4_4,24,105,
47,4,47_4,5,47_4_5,11,37,
47,5,47_5,1,47_5_1,21,31,
47,5,47_5,2,47_5_2,18,50,
47,5,47_5,3,47_5_3,12,16,
47,5,47_5,4,47_5_4,22,34,
47,5,47_5,5,47_5_5,18,34,
47,5,47_5,6,47_5_6,27,54,
47,6,47_6,1,47_6_1,11,40,
47,6,47_6,2,47_6_2,17,67,
47,6,47_6,3,47_6_3,13,70,
47,6,47_6,4,47_6_4,11,34,
47,6,47_6,5,47_6_5,16,49,
48,1,48_1,1,48_1_1,10,45,
48,1,48_1,2,48_1_2,28,130,
48,1,48_1,3,48_1_3,33,125,
48,1,48_1,4,48_1_4,14,55,
48,1,48_1,5,48_1_5,10,29,
48,1,48_1,6,48_1_6,24,79,
48,2,48_2,1,48_2_1,10,25,
48,2,48_2,2,48_2_2,12,19,
48,2,48_2,3,48_2_3,9,27,
48,2,48_2,4,48_2_4,17,53,
48,2,48_2,5,48_2_5,11,40,
48,2,48_2,6,48_2_6,35,90,
48,2,48_2,7,48_2_7,15,34,
48,3,48_3,1,48_3_1,25,37,
48,3,48_3,2,48_3_2,8,20,
48,3,48_3,3,48_3_3,21,30,
48,3,48_3,4,48_3_4,14,25,
48,3,48_3,5,48_3_5,19,44,
48,3,48_3,6,48_3_6,12,33,
48,4,48_4,1,48_4_1,20,43,
48,4,48_4,2,48_4_2,14,61,
48,4,48_4,3,48_4_3,23,73,
48,4,48_4,4,48_4_4,24,63,
48,4,48_4,5,48_4_5,15,53,
48,4,48_4,6,48_4_6,40,94,
48,4,48_4,7,48_4_7,25,73,
48,5,48_5,1,48_5_1,16,34,
48,5,48_5,2,48_5_2,23,61,
48,5,48_5,3,48_5_3,23,39,
48,5,48_5,4,48_5_4,26,34,
48,5,48_5,5,48_5_5,40,51,
48,5,48_5,6,48_5_6,24,57,
48,6,48_6,1,48_6_1,21,70,
48,6,48_6,2,48_6_2,32,66,
48,6,48_6,3,48_6_3,30,111,
48,6,48_6,4,48_6_4,20,65,
48,6,48_6,5,48_6_5,15,54,
52,1,52_1,1,52_1_1,18,27,
52,1,52_1,2,52_1_2,24,49,
52,1,52_1,3,52_1_3,21,32,
52,1,52_1,4,52_1_4,35,75,
52,1,52_1,5,52_1_5,37,146,
52,1,52_1,6,52_1_6,24,28,
52,2,52_2,1,52_2_1,15,72,
52,2,52_2,2,52_2_2,18,43,
52,2,52_2,3,52_2_3,16,90,
52,2,52_2,4,52_2_4,33,134,
52,2,52_2,5,52_2_5,20,142,
52,2,52_2,6,52_2_6,16,133,
52,3,52_3,1,52_3_1,34,125,
52,3,52_3,2,52_3_2,15,52,
52,3,52_3,3,52_3_3,20,37,
52,3,52_3,4,52_3_4,11,31,
52,3,52_3,5,52_3_5,24,49,
