Id,plant_nr,plant_id,fruit_nr,fruit_id,n_seeds,excluded,comment
2,2,2_2,1,2_2_1,4,0,
2,2,2_2,2,2_2_2,8,0,
2,2,2_2,3,2_2_3,2,0,
2,2,2_2,4,2_2_4,4,0,
2,2,2_2,5,2_2_5,6,0,
2,2,2_2,6,2_2_6,7,0,
2,2,2_2,7,2_2_7,3,0,
2,2,2_2,8,2_2_8,4,0,
2,2,2_2,9,2_2_9,4,0,
2,2,2_2,10,2_2_10,5,0,
2,2,2_2,11,2_2_11,4,0,
2,2,2_2,12,2_2_12,4,0,
2,2,2_2,13,2_2_13,2,0,
2,2,2_2,14,2_2_14,2,0,
2,2,2_2,15,2_2_15,3,0,
2,2,2_2,16,2_2_16,4,0,
2,2,2_2,17,2_2_17,5,0,
2,2,2_2,18,2_2_18,4,0,
2,2,2_2,19,2_2_19,8,0,
2,2,2_2,20,2_2_20,3,0,
2,2,2_2,21,2_2_21,3,0,
2,2,2_2,22,2_2_22,2,0,
2,2,2_2,23,2_2_23,2,0,
2,2,2_2,24,2_2_24,5,0,
2,2,2_2,25,2_2_25,7,0,
2,2,2_2,26,2_2_26,6,0,
2,2,2_2,27,2_2_27,4,0,
2,2,2_2,28,2_2_28,4,0,
2,2,2_2,29,2_2_29,8,0,
2,2,2_2,30,2_2_30,2,0,
2,2,2_2,31,2_2_31,2,0,
2,2,2_2,32,2_2_32,5,0,
2,2,2_2,33,2_2_33,4,0,
2,2,2_2,34,2_2_34,2,0,
2,2,2_2,35,2_2_35,4,0,
2,2,2_2,36,2_2_36,2,0,
2,2,2_2,37,2_2_37,2,0,
2,2,2_2,38,2_2_38,6,0,
2,2,2_2,39,2_2_39,4,0,
2,2,2_2,40,2_2_40,3,0,
2,2,2_2,41,2_2_41,5,0,
2,2,2_2,42,2_2_42,5,0,
2,2,2_2,43,2_2_43,4,0,
2,2,2_2,44,2_2_44,3,0,
2,2,2_2,45,2_2_45,3,0,
2,2,2_2,46,2_2_46,3,0,
2,2,2_2,47,2_2_47,2,0,
2,2,2_2,48,2_2_48,1,0,
2,2,2_2,49,2_2_49,1,0,
2,2,2_2,50,2_2_50,7,0,
2,3,2_3,1,2_3_1,2,0,
2,3,2_3,2,2_3_2,3,0,
2,3,2_3,3,2_3_3,1,0,
2,3,2_3,4,2_3_4,3,0,
2,3,2_3,5,2_3_5,1,0,
2,3,2_3,6,2_3_6,2,0,
2,3,2_3,7,2_3_7,1,0,
2,3,2_3,8,2_3_8,1,0,
2,3,2_3,9,2_3_9,2,0,
2,3,2_3,10,2_3_10,2,0,
2,3,2_3,11,2_3_11,1,0,
2,3,2_3,12,2_3_12,2,0,
2,3,2_3,13,2_3_13,1,0,
2,3,2_3,14,2_3_14,2,0,
2,3,2_3,15,2_3_15,1,0,
2,3,2_3,16,2_3_16,1,0,
2,3,2_3,17,2_3_17,1,0,
2,3,2_3,18,2_3_18,1,0,
2,3,2_3,19,2_3_19,2,0,
2,3,2_3,20,2_3_20,3,0,
2,3,2_3,21,2_3_21,3,0,
2,3,2_3,22,2_3_22,3,0,
2,3,2_3,23,2_3_23,4,0,
2,3,2_3,24,2_3_24,2,0,
2,3,2_3,25,2_3_25,2,0,
2,3,2_3,26,2_3_26,1,0,
2,3,2_3,27,2_3_27,1,0,
2,3,2_3,28,2_3_28,4,0,
2,3,2_3,29,2_3_29,1,0,
2,3,2_3,30,2_3_30,2,0,
2,3,2_3,31,2_3_31,3,0,
2,3,2_3,32,2_3_32,1,0,
2,3,2_3,33,2_3_33,3,0,
2,3,2_3,34,2_3_34,2,0,
2,3,2_3,35,2_3_35,2,0,
2,3,2_3,36,2_3_36,1,0,
2,3,2_3,37,2_3_37,2,0,
2,3,2_3,38,2_3_38,3,0,
2,3,2_3,39,2_3_39,1,0,
2,3,2_3,40,2_3_40,1,0,
2,3,2_3,41,2_3_41,1,0,
2,3,2_3,42,2_3_42,1,0,
2,3,2_3,43,2_3_43,1,0,
2,3,2_3,44,2_3_44,1,0,
2,3,2_3,45,2_3_45,2,0,
2,3,2_3,46,2_3_46,2,0,
2,3,2_3,47,2_3_47,2,0,
2,3,2_3,48,2_3_48,2,0,
2,3,2_3,49,2_3_49,2,0,
2,3,2_3,50,2_3_50,2,0,
2,4,2_4,1,2_4_1,3,0,
2,4,2_4,2,2_4_2,2,0,
2,4,2_4,3,2_4_3,4,0,
2,4,2_4,4,2_4_4,5,0,
2,4,2_4,5,2_4_5,2,0,
2,4,2_4,6,2_4_6,5,0,
2,4,2_4,7,2_4_7,2,0,
2,4,2_4,8,2_4_8,4,0,
2,4,2_4,9,2_4_9,5,0,
2,4,2_4,10,2_4_10,3,0,
2,4,2_4,11,2_4_11,4,0,
2,4,2_4,12,2_4_12,2,0,
2,4,2_4,13,2_4_13,5,0,
2,4,2_4,14,2_4_14,5,0,
2,4,2_4,15,2_4_15,3,0,
2,4,2_4,16,2_4_16,5,0,
2,4,2_4,17,2_4_17,3,0,
2,4,2_4,18,2_4_18,6,0,
2,4,2_4,19,2_4_19,2,0,
2,4,2_4,20,2_4_20,3,0,
2,4,2_4,21,2_4_21,2,0,
2,4,2_4,22,2_4_22,1,0,
2,4,2_4,23,2_4_23,5,0,
2,4,2_4,24,2_4_24,1,0,
2,4,2_4,25,2_4_25,4,0,
2,4,2_4,26,2_4_26,3,0,
2,4,2_4,27,2_4_27,1,0,
2,4,2_4,28,2_4_28,2,0,
2,4,2_4,29,2_4_29,1,0,
2,4,2_4,30,2_4_30,2,0,
2,4,2_4,31,2_4_31,3,0,
2,4,2_4,32,2_4_32,4,0,
2,4,2_4,33,2_4_33,1,0,
2,4,2_4,34,2_4_34,5,0,
2,4,2_4,35,2_4_35,3,0,
2,4,2_4,36,2_4_36,2,0,
2,4,2_4,37,2_4_37,3,0,
2,4,2_4,38,2_4_38,4,0,
2,4,2_4,39,2_4_39,4,0,
2,4,2_4,40,2_4_40,5,0,
2,4,2_4,41,2_4_41,7,0,
2,4,2_4,42,2_4_42,6,0,
2,4,2_4,43,2_4_43,3,0,
2,4,2_4,44,2_4_44,2,0,
2,4,2_4,45,2_4_45,4,0,
2,4,2_4,46,2_4_46,3,0,
2,4,2_4,47,2_4_47,6,0,
2,4,2_4,48,2_4_48,6,0,
2,4,2_4,49,2_4_49,2,0,
2,4,2_4,50,2_4_50,7,0,
2,5,2_5,1,2_5_1,7,0,
2,5,2_5,2,2_5_2,2,0,
2,5,2_5,3,2_5_3,3,0,
2,5,2_5,4,2_5_4,7,0,
2,5,2_5,5,2_5_5,6,0,
2,5,2_5,6,2_5_6,5,0,
2,5,2_5,7,2_5_7,3,0,
2,5,2_5,8,2_5_8,4,0,
2,5,2_5,9,2_5_9,3,0,
2,5,2_5,10,2_5_10,4,0,
2,5,2_5,11,2_5_11,7,0,
2,5,2_5,12,2_5_12,6,0,
2,5,2_5,13,2_5_13,2,0,
2,5,2_5,14,2_5_14,4,0,
2,5,2_5,15,2_5_15,8,0,
2,5,2_5,16,2_5_16,3,0,
2,5,2_5,17,2_5_17,3,0,
2,5,2_5,18,2_5_18,3,0,
2,5,2_5,19,2_5_19,6,0,
2,5,2_5,20,2_5_20,7,0,
2,5,2_5,21,2_5_21,5,0,
2,5,2_5,22,2_5_22,5,0,
2,5,2_5,23,2_5_23,4,0,
2,5,2_5,24,2_5_24,5,0,
2,5,2_5,25,2_5_25,4,0,
2,5,2_5,26,2_5_26,5,0,
2,5,2_5,27,2_5_27,3,0,
2,5,2_5,28,2_5_28,3,0,
2,5,2_5,29,2_5_29,5,0,
2,5,2_5,30,2_5_30,6,0,
2,5,2_5,31,2_5_31,6,0,
2,5,2_5,32,2_5_32,5,0,
2,5,2_5,33,2_5_33,4,0,
2,5,2_5,34,2_5_34,6,0,
2,5,2_5,35,2_5_35,6,0,
2,5,2_5,36,2_5_36,5,0,
2,5,2_5,37,2_5_37,3,0,
2,5,2_5,38,2_5_38,3,0,
2,5,2_5,39,2_5_39,2,0,
2,5,2_5,40,2_5_40,7,0,
2,5,2_5,41,2_5_41,5,0,
2,5,2_5,42,2_5_42,5,0,
2,5,2_5,43,2_5_43,1,0,
2,5,2_5,44,2_5_44,4,0,
2,5,2_5,45,2_5_45,1,0,
2,5,2_5,46,2_5_46,5,0,
2,5,2_5,47,2_5_47,3,0,
2,5,2_5,48,2_5_48,3,0,
2,5,2_5,49,2_5_49,3,0,
2,5,2_5,50,2_5_50,5,0,
2,6,2_6,1,2_6_1,2,0,
2,6,2_6,2,2_6_2,6,0,
2,6,2_6,3,2_6_3,4,0,
2,6,2_6,4,2_6_4,4,0,
2,6,2_6,5,2_6_5,4,0,
2,6,2_6,6,2_6_6,3,0,
2,6,2_6,7,2_6_7,4,0,
2,6,2_6,8,2_6_8,1,0,
2,6,2_6,9,2_6_9,3,0,
2,6,2_6,10,2_6_10,7,0,
2,6,2_6,11,2_6_11,4,0,
2,6,2_6,12,2_6_12,4,0,
2,6,2_6,13,2_6_13,3,0,
2,6,2_6,14,2_6_14,5,0,
2,6,2_6,15,2_6_15,5,0,
